zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 0,1A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;1,46E-10;6,94E-12;1,73E-12;1,55E-10;1,42E-09;6,92E-11;1,70E-11;1,50E-09;1,41E-08;6,91E-10;1,70E-10;1,50E-08;7,06E-08;3,46E-09;8,49E-10;7,49E-08
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,56;4,86E-12;1,31E-14;2,22E-14;4,90E-12;4,97E-12;1,31E-14;2,22E-14;5,00E-12;6,01E-12;1,31E-14;2,22E-14;6,05E-12;1,07E-11;1,31E-14;2,22E-14;1,07E-11
0,57;4,56E-12;1,62E-14;2,07E-14;4,60E-12;4,70E-12;1,62E-14;2,07E-14;4,74E-12;6,05E-12;1,62E-14;2,07E-14;6,09E-12;1,21E-11;1,62E-14;2,07E-14;1,21E-11
0,58;4,51E-12;1,77E-14;2,04E-14;4,55E-12;4,58E-12;1,77E-14;2,04E-14;4,62E-12;5,31E-12;1,77E-14;2,04E-14;5,34E-12;8,53E-12;1,77E-14;2,04E-14;8,57E-12
0,59;4,64E-12;1,11E-14;2,06E-14;4,67E-12;4,75E-12;1,11E-14;2,06E-14;4,78E-12;5,89E-12;1,11E-14;2,06E-14;5,92E-12;1,09E-11;1,11E-14;2,06E-14;1,10E-11
0,60;4,66E-12;1,69E-14;2,27E-14;4,70E-12;4,66E-12;1,69E-14;2,27E-14;4,70E-12;4,66E-12;1,69E-14;2,27E-14;4,70E-12;4,66E-12;1,69E-14;2,27E-14;4,70E-12
0,61;4,47E-12;1,52E-14;2,08E-14;4,51E-12;4,63E-12;1,52E-14;2,08E-14;4,67E-12;6,22E-12;1,52E-14;2,08E-14;6,25E-12;1,33E-11;1,52E-14;2,08E-14;1,33E-11
0,62;4,55E-12;1,76E-14;2,49E-14;4,60E-12;4,55E-12;1,76E-14;2,49E-14;4,60E-12;4,55E-12;1,76E-14;2,49E-14;4,60E-12;4,55E-12;1,76E-14;2,49E-14;4,60E-12
0,63;4,52E-12;1,81E-14;2,08E-14;4,56E-12;4,56E-12;1,81E-14;2,08E-14;4,60E-12;4,97E-12;1,81E-14;2,08E-14;5,01E-12;6,81E-12;1,81E-14;2,08E-14;6,85E-12
0,64;4,75E-12;1,49E-14;2,03E-14;4,78E-12;4,83E-12;1,49E-14;2,03E-14;4,86E-12;5,65E-12;1,49E-14;2,03E-14;5,69E-12;9,31E-12;1,49E-14;2,03E-14;9,34E-12
0,65;4,51E-12;1,53E-14;1,73E-14;4,54E-12;4,67E-12;1,53E-14;1,73E-14;4,70E-12;6,28E-12;1,53E-14;1,73E-14;6,31E-12;1,34E-11;1,53E-14;1,73E-14;1,35E-11
0,66;4,42E-12;1,74E-14;1,56E-14;4,45E-12;4,58E-12;1,74E-14;1,56E-14;4,61E-12;6,16E-12;1,74E-14;1,56E-14;6,20E-12;1,32E-11;1,74E-14;1,56E-14;1,33E-11
0,67;4,61E-12;2,11E-14;1,81E-14;4,65E-12;4,91E-12;2,11E-14;1,81E-14;4,95E-12;7,89E-12;2,11E-14;1,81E-14;7,93E-12;2,11E-11;2,11E-14;1,81E-14;2,12E-11
0,68;4,61E-12;1,92E-14;1,49E-14;4,64E-12;4,66E-12;1,92E-14;1,49E-14;4,70E-12;5,21E-12;1,92E-14;1,49E-14;5,25E-12;7,64E-12;1,92E-14;1,49E-14;7,68E-12
0,69;4,65E-12;1,76E-14;1,93E-14;4,69E-12;5,05E-12;1,76E-14;1,93E-14;5,09E-12;9,10E-12;1,76E-14;1,93E-14;9,13E-12;2,71E-11;1,76E-14;1,93E-14;2,71E-11
0,70;4,80E-12;2,09E-14;1,90E-14;4,84E-12;5,22E-12;2,09E-14;1,90E-14;5,26E-12;9,47E-12;2,09E-14;1,90E-14;9,51E-12;2,83E-11;2,09E-14;1,90E-14;2,84E-11
0,71;5,07E-12;1,68E-14;2,57E-14;5,12E-12;5,18E-12;1,68E-14;2,57E-14;5,22E-12;6,19E-12;1,68E-14;2,57E-14;6,23E-12;1,07E-11;1,68E-14;2,57E-14;1,07E-11
0,72;4,70E-12;1,50E-14;2,82E-14;4,74E-12;4,78E-12;1,50E-14;2,82E-14;4,82E-12;5,55E-12;1,50E-14;2,82E-14;5,59E-12;8,98E-12;1,50E-14;2,82E-14;9,02E-12
0,73;4,70E-12;1,72E-14;1,97E-14;4,74E-12;4,86E-12;1,72E-14;1,97E-14;4,90E-12;6,53E-12;1,72E-14;1,97E-14;6,57E-12;1,39E-11;1,72E-14;1,97E-14;1,40E-11
0,74;4,86E-12;1,59E-14;2,20E-14;4,90E-12;4,86E-12;1,59E-14;2,20E-14;4,90E-12;4,86E-12;1,59E-14;2,20E-14;4,90E-12;4,86E-12;1,59E-14;2,20E-14;4,90E-12
0,75;4,67E-12;1,52E-14;1,85E-14;4,70E-12;4,67E-12;1,52E-14;1,85E-14;4,70E-12;4,67E-12;1,52E-14;1,85E-14;4,70E-12;4,67E-12;1,52E-14;1,85E-14;4,70E-12
0,76;4,33E-12;1,63E-14;2,51E-14;4,37E-12;4,33E-12;1,63E-14;2,51E-14;4,37E-12;4,33E-12;1,63E-14;2,51E-14;4,37E-12;4,33E-12;1,63E-14;2,51E-14;4,37E-12
0,77;4,39E-12;1,87E-14;2,25E-14;4,43E-12;4,39E-12;1,87E-14;2,25E-14;4,43E-12;4,39E-12;1,87E-14;2,25E-14;4,43E-12;4,39E-12;1,87E-14;2,25E-14;4,43E-12
0,78;4,36E-12;1,81E-14;2,36E-14;4,40E-12;4,50E-12;1,81E-14;2,36E-14;4,55E-12;5,98E-12;1,81E-14;2,36E-14;6,03E-12;1,26E-11;1,81E-14;2,36E-14;1,26E-11
0,79;4,57E-12;1,41E-14;1,94E-14;4,60E-12;4,81E-12;1,41E-14;1,94E-14;4,84E-12;7,21E-12;1,41E-14;1,94E-14;7,25E-12;1,79E-11;1,41E-14;1,94E-14;1,79E-11
