zero of S position (m) defined 2m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (4BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;5,08E-12;2,84E-14;3,51E-14;5,14E-12;6,61E-12;4,06E-14;4,65E-14;6,70E-12;2,20E-11;1,63E-13;1,61E-13;2,23E-11;9,02E-11;7,06E-13;6,67E-13;9,16E-11
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
1,14;4,65E-12;2,00E-14;2,44E-14;4,70E-12;4,66E-12;2,17E-14;2,53E-14;4,70E-12;4,68E-12;3,80E-14;3,52E-14;4,75E-12;4,80E-12;1,10E-13;7,92E-14;4,99E-12
1,15;4,58E-12;2,02E-14;2,45E-14;4,63E-12;4,58E-12;2,25E-14;2,50E-14;4,63E-12;4,61E-12;4,54E-14;3,05E-14;4,68E-12;4,72E-12;1,47E-13;5,49E-14;4,92E-12
1,16;4,52E-12;2,04E-14;2,65E-14;4,57E-12;4,52E-12;2,89E-14;2,93E-14;4,58E-12;4,55E-12;1,14E-13;5,71E-14;4,72E-12;4,67E-12;4,92E-13;1,81E-13;5,34E-12
1,17;4,55E-12;2,08E-14;2,60E-14;4,59E-12;4,55E-12;2,82E-14;3,46E-14;4,61E-12;4,57E-12;1,03E-13;1,21E-13;4,80E-12;4,68E-12;4,34E-13;5,03E-13;5,62E-12
1,18;4,59E-12;2,00E-14;2,70E-14;4,64E-12;4,59E-12;2,79E-14;4,08E-14;4,66E-12;4,62E-12;1,07E-13;1,79E-13;4,90E-12;4,74E-12;4,57E-13;7,93E-13;5,99E-12
1,19;4,70E-12;1,94E-14;2,61E-14;4,75E-12;4,70E-12;2,72E-14;3,87E-14;4,77E-12;4,73E-12;1,05E-13;1,65E-13;5,00E-12;4,85E-12;4,51E-13;7,24E-13;6,02E-12
1,20;4,67E-12;1,94E-14;2,53E-14;4,71E-12;4,67E-12;2,93E-14;3,06E-14;4,73E-12;4,70E-12;1,28E-13;8,39E-14;4,91E-12;4,81E-12;5,67E-13;3,21E-13;5,70E-12
1,21;4,61E-12;1,95E-14;2,31E-14;4,65E-12;4,61E-12;2,47E-14;2,47E-14;4,66E-12;4,64E-12;7,63E-14;4,02E-14;4,75E-12;4,75E-12;3,06E-13;1,09E-13;5,17E-12
1,22;4,63E-12;1,85E-14;2,30E-14;4,68E-12;4,64E-12;2,07E-14;2,33E-14;4,68E-12;4,66E-12;4,29E-14;2,64E-14;4,73E-12;4,78E-12;1,41E-13;4,00E-14;4,96E-12
1,23;4,59E-12;1,91E-14;2,39E-14;4,64E-12;4,59E-12;2,54E-14;2,72E-14;4,65E-12;4,62E-12;8,79E-14;6,02E-14;4,77E-12;4,74E-12;3,66E-13;2,07E-13;5,31E-12
1,24;4,56E-12;2,01E-14;2,53E-14;4,61E-12;4,57E-12;2,70E-14;4,24E-14;4,64E-12;4,59E-12;9,61E-14;2,14E-13;4,90E-12;4,71E-12;4,03E-13;9,76E-13;6,09E-12
1,25;4,59E-12;2,17E-14;2,60E-14;4,64E-12;4,59E-12;3,22E-14;4,80E-14;4,67E-12;4,62E-12;1,37E-13;2,68E-13;5,03E-12;4,74E-12;6,06E-13;1,25E-12;6,59E-12
1,26;4,56E-12;2,08E-14;2,45E-14;4,61E-12;4,56E-12;2,40E-14;2,94E-14;4,62E-12;4,59E-12;5,61E-14;7,84E-14;4,72E-12;4,70E-12;1,99E-13;2,96E-13;5,20E-12
1,27;4,56E-12;2,07E-14;2,43E-14;4,61E-12;4,57E-12;2,45E-14;2,46E-14;4,62E-12;4,59E-12;6,17E-14;2,78E-14;4,68E-12;4,71E-12;2,27E-13;4,23E-14;4,98E-12
1,28;4,58E-12;1,97E-14;2,52E-14;4,62E-12;4,58E-12;2,44E-14;3,37E-14;4,64E-12;4,61E-12;7,07E-14;1,20E-13;4,80E-12;4,73E-12;2,77E-13;5,01E-13;5,50E-12
1,29;4,59E-12;2,05E-14;2,57E-14;4,64E-12;4,59E-12;2,98E-14;4,29E-14;4,67E-12;4,62E-12;1,23E-13;2,14E-13;4,96E-12;4,74E-12;5,37E-13;9,77E-13;6,26E-12
1,30;4,62E-12;2,06E-14;2,30E-14;4,66E-12;4,62E-12;2,74E-14;2,34E-14;4,67E-12;4,65E-12;9,54E-14;2,70E-14;4,77E-12;4,76E-12;3,98E-13;4,30E-14;5,20E-12
1,31;4,65E-12;2,17E-14;2,28E-14;4,69E-12;4,65E-12;3,48E-14;2,83E-14;4,71E-12;4,68E-12;1,66E-13;8,29E-14;4,93E-12;4,80E-12;7,49E-13;3,26E-13;5,87E-12
1,32;4,57E-12;2,09E-14;2,26E-14;4,62E-12;4,58E-12;2,66E-14;2,41E-14;4,63E-12;4,60E-12;8,37E-14;3,93E-14;4,72E-12;4,72E-12;3,38E-13;1,07E-13;5,16E-12
1,33;4,53E-12;2,06E-14;2,23E-14;4,58E-12;4,54E-12;2,32E-14;2,40E-14;4,58E-12;4,56E-12;4,90E-14;4,07E-14;4,65E-12;4,69E-12;1,64E-13;1,15E-13;4,97E-12
1,34;4,51E-12;1,97E-14;2,32E-14;4,55E-12;4,51E-12;2,49E-14;2,89E-14;4,57E-12;4,54E-12;7,65E-14;8,53E-14;4,70E-12;4,66E-12;3,06E-13;3,36E-13;5,30E-12
1,35;4,54E-12;1,98E-14;2,34E-14;4,58E-12;4,54E-12;2,91E-14;2,51E-14;4,59E-12;4,57E-12;1,22E-13;4,27E-14;4,73E-12;4,70E-12;5,35E-13;1,21E-13;5,35E-12
1,36;4,57E-12;1,87E-14;2,26E-14;4,62E-12;4,58E-12;2,35E-14;2,38E-14;4,62E-12;4,61E-12;7,15E-14;3,61E-14;4,71E-12;4,73E-12;2,85E-13;9,05E-14;5,10E-12
1,37;4,65E-12;1,82E-14;2,62E-14;4,70E-12;4,66E-12;2,25E-14;5,17E-14;4,73E-12;4,69E-12;6,54E-14;3,06E-13;5,06E-12;4,81E-12;2,56E-13;1,44E-12;6,51E-12
1,38;4,63E-12;1,89E-14;2,31E-14;4,67E-12;4,63E-12;2,79E-14;2,92E-14;4,69E-12;4,66E-12;1,19E-13;9,01E-14;4,87E-12;4,78E-12;5,22E-13;3,61E-13;5,66E-12
1,39;4,59E-12;1,86E-14;2,40E-14;4,63E-12;4,59E-12;2,04E-14;2,44E-14;4,64E-12;4,62E-12;3,89E-14;2,78E-14;4,69E-12;4,75E-12;1,21E-13;4,32E-14;4,92E-12
1,40;4,64E-12;1,90E-14;2,59E-14;4,68E-12;4,64E-12;2,49E-14;4,68E-14;4,71E-12;4,67E-12;8,36E-14;2,55E-13;5,01E-12;4,80E-12;3,45E-13;1,18E-12;6,33E-12
1,41;4,61E-12;1,96E-14;2,80E-14;4,66E-12;4,61E-12;3,02E-14;5,85E-14;4,70E-12;4,64E-12;1,36E-13;3,64E-13;5,14E-12;4,76E-12;6,08E-13;1,72E-12;7,09E-12
1,42;4,58E-12;1,82E-14;2,61E-14;4,62E-12;4,58E-12;2,24E-14;4,45E-14;4,65E-12;4,61E-12;6,40E-14;2,28E-13;4,90E-12;4,74E-12;2,49E-13;1,05E-12;6,04E-12
1,43;4,60E-12;1,85E-14;2,66E-14;4,65E-12;4,60E-12;2,48E-14;3,29E-14;4,66E-12;4,63E-12;8,78E-14;9,66E-14;4,82E-12;4,77E-12;3,68E-13;3,79E-13;5,51E-12
1,44;4,63E-12;1,89E-14;2,62E-14;4,68E-12;4,64E-12;3,03E-14;3,36E-14;4,70E-12;4,67E-12;1,45E-13;1,07E-13;4,92E-12;4,80E-12;6,55E-13;4,34E-13;5,89E-12
1,45;4,63E-12;1,93E-14;2,48E-14;4,68E-12;4,63E-12;2,55E-14;2,60E-14;4,69E-12;4,66E-12;8,81E-14;3,79E-14;4,79E-12;4,78E-12;3,66E-13;9,05E-14;5,24E-12
1,46;4,61E-12;1,89E-14;2,54E-14;4,65E-12;4,61E-12;2,23E-14;2,61E-14;4,66E-12;4,62E-12;5,63E-14;3,29E-14;4,71E-12;4,70E-12;2,07E-13;6,31E-14;4,97E-12
1,47;4,65E-12;1,92E-14;2,46E-14;4,69E-12;4,65E-12;2,10E-14;2,49E-14;4,70E-12;4,66E-12;3,89E-14;2,84E-14;4,73E-12;4,70E-12;1,19E-13;4,40E-14;4,86E-12
1,48;4,71E-12;1,94E-14;2,45E-14;4,76E-12;4,71E-12;2,26E-14;2,98E-14;4,76E-12;4,72E-12;5,52E-14;8,28E-14;4,86E-12;4,74E-12;2,00E-13;3,18E-13;5,26E-12
1,49;4,73E-12;1,95E-14;2,43E-14;4,77E-12;4,73E-12;2,23E-14;2,54E-14;4,78E-12;4,74E-12;5,05E-14;3,57E-14;4,82E-12;4,76E-12;1,76E-13;8,18E-14;5,02E-12
1,50;4,68E-12;1,96E-14;2,44E-14;4,73E-12;4,69E-12;2,54E-14;2,48E-14;4,74E-12;4,69E-12;8,40E-14;2,90E-14;4,80E-12;4,72E-12;3,44E-13;4,74E-14;5,11E-12
1,51;4,68E-12;1,87E-14;2,79E-14;4,72E-12;4,68E-12;2,32E-14;4,18E-14;4,74E-12;4,68E-12;6,72E-14;1,81E-13;4,93E-12;4,71E-12;2,63E-13;7,98E-13;5,77E-12
1,52;4,70E-12;1,98E-14;2,51E-14;4,74E-12;4,70E-12;2,74E-14;2,53E-14;4,75E-12;4,71E-12;1,04E-13;2,80E-14;4,84E-12;4,74E-12;4,44E-13;3,98E-14;5,22E-12
1,53;4,78E-12;1,96E-14;2,51E-14;4,82E-12;4,78E-12;2,30E-14;3,32E-14;4,84E-12;4,79E-12;5,61E-14;1,14E-13;4,96E-12;4,82E-12;2,04E-13;4,75E-13;5,49E-12
1,54;4,81E-12;1,89E-14;2,53E-14;4,85E-12;4,81E-12;1,94E-14;2,64E-14;4,85E-12;4,81E-12;2,39E-14;3,75E-14;4,88E-12;4,84E-12;4,38E-14;8,67E-14;4,97E-12
1,55;4,79E-12;1,96E-14;2,53E-14;4,83E-12;4,79E-12;2,06E-14;2,73E-14;4,83E-12;4,79E-12;3,07E-14;4,71E-14;4,87E-12;4,82E-12;7,57E-14;1,35E-13;5,03E-12
1,56;4,80E-12;1,93E-14;2,45E-14;4,85E-12;4,80E-12;1,99E-14;2,48E-14;4,85E-12;4,81E-12;2,54E-14;2,83E-14;4,86E-12;4,84E-12;5,00E-14;4,38E-14;4,93E-12
1,57;4,76E-12;2,01E-14;2,33E-14;4,80E-12;4,76E-12;2,21E-14;2,37E-14;4,80E-12;4,76E-12;4,15E-14;2,72E-14;4,83E-12;4,79E-12;1,28E-13;4,27E-14;4,96E-12
1,58;4,60E-12;2,03E-14;2,41E-14;4,64E-12;4,60E-12;2,64E-14;2,82E-14;4,65E-12;4,61E-12;8,74E-14;6,91E-14;4,77E-12;4,66E-12;3,59E-13;2,51E-13;5,27E-12
1,59;4,64E-12;2,15E-14;2,69E-14;4,69E-12;4,65E-12;3,00E-14;5,12E-14;4,73E-12;4,67E-12;1,15E-13;2,95E-13;5,08E-12;4,76E-12;4,90E-13;1,38E-12;6,63E-12
1,60;4,65E-12;2,06E-14;2,47E-14;4,70E-12;4,65E-12;2,32E-14;2,65E-14;4,70E-12;4,68E-12;4,98E-14;4,40E-14;4,78E-12;4,82E-12;1,68E-13;1,22E-13;5,11E-12
1,61;4,60E-12;2,06E-14;2,49E-14;4,65E-12;4,61E-12;2,88E-14;2,56E-14;4,66E-12;4,64E-12;1,11E-13;3,27E-14;4,78E-12;4,77E-12;4,78E-13;6,45E-14;5,31E-12
1,62;4,59E-12;1,96E-14;2,38E-14;4,64E-12;4,60E-12;2,40E-14;2,42E-14;4,64E-12;4,63E-12;6,71E-14;2,80E-14;4,72E-12;4,78E-12;2,59E-13;4,47E-14;5,08E-12
1,63;4,55E-12;2,00E-14;2,53E-14;4,60E-12;4,56E-12;2,77E-14;4,38E-14;4,63E-12;4,59E-12;1,04E-13;2,29E-13;4,92E-12;4,74E-12;4,44E-13;1,05E-12;6,23E-12
1,64;4,56E-12;1,95E-14;2,44E-14;4,60E-12;4,56E-12;2,51E-14;3,32E-14;4,62E-12;4,59E-12;8,11E-14;1,21E-13;4,80E-12;4,73E-12;3,30E-13;5,11E-13;5,57E-12
1,65;4,55E-12;1,97E-14;2,60E-14;4,60E-12;4,56E-12;3,11E-14;3,72E-14;4,63E-12;4,59E-12;1,45E-13;1,49E-13;4,88E-12;4,72E-12;6,52E-13;6,48E-13;6,02E-12
1,66;4,59E-12;2,00E-14;2,57E-14;4,63E-12;4,59E-12;2,66E-14;3,36E-14;4,65E-12;4,62E-12;9,33E-14;1,12E-13;4,83E-12;4,77E-12;3,89E-13;4,63E-13;5,63E-12
1,67;4,50E-12;2,04E-14;2,50E-14;4,55E-12;4,50E-12;3,27E-14;2,86E-14;4,56E-12;4,54E-12;1,55E-13;6,54E-14;4,76E-12;4,69E-12;7,01E-13;2,29E-13;5,62E-12
1,68;4,54E-12;2,05E-14;2,46E-14;4,58E-12;4,54E-12;2,51E-14;2,59E-14;4,59E-12;4,57E-12;7,16E-14;3,87E-14;4,68E-12;4,72E-12;2,78E-13;9,59E-14;5,09E-12
1,69;4,55E-12;2,08E-14;2,50E-14;4,59E-12;4,55E-12;2,51E-14;2,53E-14;4,60E-12;4,58E-12;6,77E-14;2,88E-14;4,67E-12;4,71E-12;2,57E-13;4,43E-14;5,01E-12
1,70;4,60E-12;1,96E-14;2,41E-14;4,65E-12;4,61E-12;2,44E-14;2,47E-14;4,65E-12;4,64E-12;7,25E-14;3,06E-14;4,74E-12;4,78E-12;2,86E-13;5,68E-14;5,13E-12
1,71;4,58E-12;1,99E-14;2,74E-14;4,62E-12;4,58E-12;2,88E-14;5,18E-14;4,66E-12;4,61E-12;1,18E-13;2,96E-13;5,03E-12;4,76E-12;5,14E-13;1,38E-12;6,65E-12
