zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;6,58E-12;4,60E-14;5,60E-14;6,68E-12;1,03E-11;5,76E-14;5,65E-14;1,04E-11;4,72E-11;1,74E-13;6,16E-14;4,74E-11;2,11E-10;6,91E-13;8,44E-14;2,12E-10
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,99;4,49E-12;1,75E-14;2,63E-14;4,53E-12;4,49E-12;1,75E-14;2,63E-14;4,53E-12;4,50E-12;1,75E-14;2,63E-14;4,54E-12;4,53E-12;1,75E-14;2,63E-14;4,58E-12
1,00;4,44E-12;1,94E-14;2,38E-14;4,48E-12;4,44E-12;1,94E-14;2,38E-14;4,49E-12;4,45E-12;1,94E-14;2,38E-14;4,49E-12;4,49E-12;1,94E-14;2,38E-14;4,54E-12
1,01;4,30E-12;1,80E-14;2,29E-14;4,34E-12;4,30E-12;1,80E-14;2,29E-14;4,34E-12;4,33E-12;1,80E-14;2,29E-14;4,37E-12;4,44E-12;1,80E-14;2,29E-14;4,48E-12
1,02;4,46E-12;1,57E-14;2,30E-14;4,50E-12;4,46E-12;1,57E-14;2,30E-14;4,50E-12;4,48E-12;1,57E-14;2,30E-14;4,51E-12;4,52E-12;1,57E-14;2,30E-14;4,56E-12
1,03;4,17E-12;1,30E-14;2,48E-14;4,20E-12;4,17E-12;1,30E-14;2,48E-14;4,21E-12;4,19E-12;1,30E-14;2,48E-14;4,22E-12;4,26E-12;1,30E-14;2,48E-14;4,30E-12
1,04;4,37E-12;1,90E-14;3,27E-14;4,42E-12;4,37E-12;1,90E-14;3,27E-14;4,42E-12;4,37E-12;1,90E-14;3,27E-14;4,43E-12;4,39E-12;1,90E-14;3,27E-14;4,44E-12
1,05;4,35E-12;1,75E-14;2,99E-14;4,39E-12;4,35E-12;1,75E-14;2,99E-14;4,39E-12;4,36E-12;1,75E-14;2,99E-14;4,41E-12;4,42E-12;1,75E-14;2,99E-14;4,47E-12
1,06;4,62E-12;1,81E-14;2,80E-14;4,67E-12;4,63E-12;1,81E-14;2,80E-14;4,67E-12;4,64E-12;1,81E-14;2,80E-14;4,68E-12;4,69E-12;1,81E-14;2,80E-14;4,73E-12
1,07;4,54E-12;1,65E-14;2,32E-14;4,58E-12;4,54E-12;1,65E-14;2,32E-14;4,58E-12;4,55E-12;1,65E-14;2,32E-14;4,59E-12;4,58E-12;1,65E-14;2,32E-14;4,62E-12
1,08;4,26E-12;2,22E-14;2,51E-14;4,31E-12;4,26E-12;2,22E-14;2,51E-14;4,31E-12;4,27E-12;2,22E-14;2,51E-14;4,31E-12;4,29E-12;2,22E-14;2,51E-14;4,34E-12
